message,answer
"но мне нужно , чтобы ты был честен .","а я . . . я полагаю , что нужен ."
рэй ?,"да , рэй ."
"я уверен , что вы всё пройдете с триумфом .",вы - его единственный шанс .
каких девушек ?,плохими мужчинами .
как дела ?,"все хорошо , хорошо ."
мистер лэнг .,мистер пул .
"так как больше никто не смеялся над ней , она научилась превосходно ездить на велосипеде .",но на ручке также имеется еще одно днк .
"конечно , это не моё дело , я ничего не говорю .",и не мое тоже .
эм . . .,"хороший разговор не начинается с "" послушай , киллиан . . . """
это было бы неплохо .,"хорошо , что ты поняла это в конечном счёте ."
и это после прочтения инструкции !,доктор ?
ни с места .,"вы , там , ни с места !"
"я пять раз звонила в звонок , пап .",кто звонил ?
"как у нашего отца , наверное , нет .",твой отчим .
как называются твои духи ?,марли .
"и если вы продолжите оглядываться в прошлое , копаясь в прошлом , тогда люди это заметят .",за двадцать лет шекспир прошел свой путь .
не забудьте вернуть мне кресло .,непременно .
шаг в сторону от машины !,"не страшно , он в мешке !"
"на самом деле , она клевая .","я знаю , что она классная , я с ней уже трахался ."
совпадение ? не думаю !,"боюсь , ничто из этого не было совпадением карл коллинз ."
саммерс вчера связывалась с ним .,"ты уверен , что он ничего тебе не рассказывал ?"
"продолжайте двигаться , сейчас .",не двигайтесь !
"мне плевать , что он брат генри .",он мой сводный брат .
пэдди :,"кеннеди , джонсон , никсон . . ."
"давай , чё ты тянешь ?",что выиграю .
почему я ?,"потому что мы хотим , чтобы ты это сделала ."
"о , я - - я не думаю , что мой отец сказал твоему отцу .",моим отцом ?
я не хочу так жить .,"действительно , не хочу ."
надолго ? на час .,"на неделю , вернусь 7 - го"
несмотря на отсутствие выгоды ?,они не хотят делится богатством .
"вы , два клоуна , сейчас же садитесь в эту загадочную машину снаружи и уезжаете из города или я пробью вам колени .", и сам достигнешь ее конца 
"да , сэр .","хорошо , профессор ."
"нет , спасибо .","больше ничего , филипп ."
спасибо .,пожалуйста .
ночь кино !,"нет фильма , аарон ."
за неё уже заплатили .,долларов ?
а что ты скажешь по поводу её отвратительных котов ?,никаких собак .
"это такая процедура , которую делают чтобы выглядеть стройнее .","и , боюсь , плацента расположена неправильно ."
"ничего , можешь нам сказать .","без проблем , куколка ."
разве ты не этого хотела ?,"нет , я этого не говорила ."
спасибо .,не за что .
"ладно , двигаемся дальше .",теперь твоя очередь .
всё равно .,молоко !
"то , что ты даёшь мне советы - смешно .","я просто не хотел тебя разочаровывать , ясно ?"
"где вы мои , родные ?",я тут !
фбр .,джек не мог обратиться ко мне сам ?
что ?,ничего .
дай мне его .,я дам его тебе .
"в ту ночь они занимались любовью так , как хотела шарлотта .","сперва такая милая , но в следующее мгновение показывала истинную свою низость ."
с новым годом .,"с новым годом , денис !"
ты женился бы на ней ?,"на ком , на эми ?"
"нет , не глупи .",а то мне будет плохо .
как же они называют хоуп и араба ?,"они могут сказать это , если хотят так сказать . рикки - отец ."
эй .,у меня неважные новости .
кнут .,это кнут .
она ваш единственный клиент ?,"нет , она - только мой друг ."
ты знаешь дроидов .,"да , мадам , знаю ."
"мы ждали тебя , как и обещали .","да . мы очень , очень ждем ."
проклятье !,гриффин ! я просила отнести комиксы наверх .
тупица адам !,<CENSORED> !
привет .,приятно познакомиться .
прежде чем . . .,"да , доктор ."
ээй ?,что ?
почему ты не в европе ?,мы едем домой !
что она сказала ?,"она обвинила меня в делах , которые являются ложью ."
мы работаем .,"конечно , работаете ."
который час ?,6 часов .
очнитесь .,вы ранены ?
"клэй , есть вещи гораздо важнее .","может , даже более важные , чем это . такие , как духовные ценности ."
"ты знаешь , я не думаю , что это уж такая хорошая идея .","увы , я знаю тебя лучше тебя самой ."
пошёл .,иди .
круто .,"ага , это круто ."
" пожалуйста , останься , давай жить долго и счастливо  ?","и мы одолеем далию вместе или ты можешь уйти , и обречь себя жить в одиночестве ."
нет .,это честный ответ .
♪ i ' ll be there . . . ♪," а кем вьi должньi следовать ?	bad	0.9761809206
132152202252604			♪ i ' ll be there . . . ♪	1	вы хотите умереть ?	bad	0.9565055457
132152202252604			♪ i ' ll be there . . . ♪	2	* be ok *	neutral	0.73537266
132152202252604			♪ i ' ll be there . . . ♪	3	в	bad	0.9887081721
132152202252604			♪ i ' ll be there . . . ♪	4	хорошо , уже в пути .	good	0.6921170782
132152202252604			♪ i ' ll be there . . . ♪	5	 кого тво€ семь€ ?"
"о , да здравствует демократия !",присаживайтесь .
"нет , насколько нам известно , но у коммандера была репутация строгого начальника .","но свидетель отказался давать показания , может , потому что нелегал , поэтому судья закрыл дело ."
клэр .,кейси .
"походу там холодновато , да ?","очень , очень холодно ."
"значит . . . может быть , ты решишь убить нас ?",я не собираюсь убивать тебя .
может посмотрим на что он годен ?,не знаю . . . у него была пара посетителей .
"веди себя так , как будто ты вообще с ним не говорила .",он не потревожил меня .
"поняли , шеф .",шеф .
"я хотел извиниться за то , что произошло .",не нужно извиняться .
"ты понимаешь , что это первая песня , которую мы продали ?",кто прислал ее ?
ты же мужчина .,я мужчина .
"вообще - то это сделала реджина , и мне правда жаль . .","да , мне тоже ."
тебе принесли твой билет .,"эй , это ты погоди , приятель ."
да .,сейчас он должен поспать немного .
я доставлю королеве голову .,за чем ?
"# скажу тебе , не слишком весело .",♪ когда слышен гром твоего сердца . ♪
"нет , вы трогаете меня .","эй , мисс , положите ."
я чертов трудоголик .,"нет , ты не можешь уволиться ."
"все кончено , милтон .",навсегда .
 развратная лотта . ,"ах да , и немного развратной ."
"вы прилетели в москву , дабы обрадовать его . . . или поймать его на измене , что именно ?",подальше от вас .
"ставлю на то , что эта чертова штука даже не закрыта .","да , да , да , да !"
"берегись , верхний ист - сайд .","простите , мистер шредер !"
домовладелец выкидывает вас на улицу вместе с семьёй ?,да
ладно .,"не "" ладно "" , убирайся , живо ."
никакого давления . . .,это вероятно повреждение вызванное высокой температурой при кремации
ему не было никакого резона давать тебе это .,"он вспоминал здесь о том , что когда - то сделал , и поэтому вернулся еще разок взглянуть ."
сегодня я буду готовить сам .,"нет , я приготовлю ."
молодец .,спасибо .
ты на громкой связи .,"привет , калеб ."
"ренн не такая , какой кажется .","ну ладно , может , чуть - чуть ."
потеряла ?,"нет , она поскользнулась ."
"ты ведешь себя так , будто тебе все равно что о тебе думают другие , но очевидно , ты отчаянно хочешь нравится всем , если встречаешься с ней .",но другие хотят быть рядом с тобой .
белый халат .,"смотрите , белый халат ."
я не верю .,я верю .
"да , и с ним полный порядок с тех пор , как твой папочка дал мне работу .",что за работа ?
"может , роберт с . бренд .",роберт скотт джергенс .
"туда , быстрее !",куда ?
"здоровья тебе , дарен .",и тебе .
да брось .,я не шучу .
ладно .,всё нормально .
в основе этого продукта лежит женьшень .,"но если нужно , буду рад вам помочь ."
"спасибо , пинди .",не за что . расслабься .
мы готовы начать миссию по вашей команде .,бежим !
у меня для вас плохие новости .,какие ?
( смешок ) как тебе это ?,очень красиво .
"теперь , масло .",сударыня .
рэйчел и ким .,"твои племянницы , томми . я их не знаю ."
что случилось ?,да ничего .
могу я тебя спросить . . . .,спросить о чем ?
спасибо .,незачто .
"пожалуйста , оставьте в покое мою семью .","это зависит от вас , мистер тэйтем ."
как она это сделала ?,ты все - равно мне не поверишь .
про вуки ?,ага .
"давай , давай не тормози . .",точно всё нормально ?
дорогая г - жа флора .,мэдди !
"он единственный , кто знает правду .","я знаю , что ты знаешь ."
"руки убери , а не то . . .","ты говоришь убрать , я убрал ."
"ну , давай !",ты меня обманул ?
"ну , я не знаю .",я думаю тебе станет плохо .
что происходит ?,что случилось ?
ничего страшного .,тебя устраивает твоя комната ?
миллионер плюнул на меня ., все сюда ! он сюда побежал ! 
поверь мне .,"хорошо , верю ."
"знаешь , сейчас это действительно вкусно .",не сомневаюсь . но я не под кайфом .
"сэмми , очень нужно , понял ?",джим .
что мои родители могли иметь общего с чем - то подобным ?,"и оставили тебя с ничем , кроме квартиры ?"
попал в команду в этом году ?,в самой гуще .
это производит нехорошее впечатление .,"гм , это . . . всего лишь мой племянник и шеф о ' брайен ремонтируют трубопровод ."
"я не могу даже думать , зная , что он снаружи , даже когда остается в 100 футах от меня .",это просто невыносимо .
"видно , судьба наша такая .","ну - ка , видишь ее ?"
я чувствую сомнение в голосе .,она притягивает .
вам не кажется ?,абсолютно .
спасибо всем .,спасибо и вам .
# освободи нас от зла .,"рути , мы на небесах ."
ты уничтожил мою карьеру .,я заплатил за нее .
что ты стоишь ?,стою
это его локоть .,это клапан .
"итак , я встретил девушку в поезде , отправил смс "" как дела ? """,( звонит телефон )
учится .,не очень - то он похож на рабочего .
да .,"но потом он сказал , что он постарается доказать свою невиновность ."
из моей фляжки выскочила пробка .,она и водитель другой машины погибли .
ага - . . . вот тогда я и нажал кнопку,ага - . . . вот тогда я и нажал кнопку
"да , давай послушаем , что скажет моя дочь .",она играет постоянно . снова и снова .
"эбби , сюда возвращается мать !","нет , она не вернется ."
у меня есть билет .,билет куда ?
это была моника .,"важно то , что она была легкой и мобильной ."
"ему нужна срочная операция , чтобы понять , насколько всё серьёзно .",в худшем . . . он проживёт всего пару минут .
"но ник может увидеть тебя , даже если ты не захочешь .","нет , я хочу ."
хочешь посмотреть ?,"нет , нет , нет , нет ."
"во - первых , скажи мне почему он такой особенный","потому что . я единственный , кто знает , где твоя подружка ."
потому что мы вместе работаем и по случаю общаемся .,"да , "" за нас "" ."
держишь ? прости .,все нормально .
можно мне ручку ?,"да , конечно , конечно ."
хорошо .,"okей , еще раз . и еще разок ."
так что ж было ?,я не могу вспомнить .
пару ночей в госпитале я могу справиться и сам .,"что стряслось , сержант ?"
мне всё равно .,а кому нет ?
"да , кстати о женитьбе . . .",он женился снова несколько лет назад .
потом какой - то идиот меня освободил и теперь я должен сбежать .,"давай , мы должны бежать ."
у тебя не выиграешь !,уже выиграл .
я даже рядом с тобой находиться не могу .,что происходит ?
смутно .,"я не предлагаю забыть то , что было ."
"прикинь , он уезжает без меня .",черт .
кто ?,джои .
"на последних двух жертвах не было никаких следов , но так как моника была первой жертвой , он мог совершить ошибку .","он писал , что никто кроме него не имеет права похоронить ее и он перенес ее тело в свою повозку ."
может быть .,прикинь .
я ждала этого очень долго .,чего ждать - то ?
"я думаю , это прекрасно .",также это немного странно .
так как нам . .,ищем . . .
"я же говорил , мы задолжали богу смерть .",зачем ты это сказал своему собственному ребенку ?
"верно , чёрт побери .","он постарается загнать вас в ловушку , и заставить вас замолчать ."
извините нас на секунду ?,"нет , тебе не за что извиняться !"
можете проверить .,мы проверим все еще раз .
"я не виновата , что у вас машина горит .",ты не виновата .
да ?,даа .
моя бывшая жена умерла в пожаре в бостоне .,ее звали мелани .
понимаешь ?,"конечно , понимаю ."
"я сделаю тебя особенной . той , которую люблю .",я её держу .
"может , он последовал за тобой домой . это не",он единственный кто знал код от сейфа !
это моя мечта .,ее мечта о нас .
"слушай , я знаю , что ты обвиняешь меня в том , что уехал ваш отец , но , возможно , это не моя вина .",я и не виню . я не виню себя .
парень !,"что значит "" тот парень "" ?"
даже в мыслях не было такого .,"тогда , что вам терять ?"
поменяемся на рассвете .,садись .
"мать сесилия слепа и не видит то зло и распутство , которое видим мы , мой приор",любовь и ложь сражаются вокруг
наверно пограничный пост .,я займусь этим .
у меня есть несколько вопросов по поводу твоего приятеля беннета .,валяй .
все путем .,а ты молодцом .
пятая и говард .,что ещё за авария ?
не делай глупостей .,мне больше и не нужно .
"я думаю , что она хочет умереть .","нет , если она уже будет мертва ."
"но музон не говорит , кто это сделал .","ты понимаешь вообще , что ты наделал ?"
бег за ними выматывает тело .,как красиво
точно - без !,заметано .
"в смысле , он все испортил .","как будто хотел , чтобы его убили ."
прошлой ночью ?,"да , вчера ночью . . ."
но мы должны показать силу !,я больше не могу . мы должны .
хватит !,что происходит ?
так .,что ж .
"ладно , слушайте , мне подкинули информацию , хорошо ?","да , сэр ."
я уехал сразу после тебя .,"если вернёшься , ты либо поймана , либо мертва ."
да . точно ?,да .
"дорогая , ты о чем ?","о том , какую <CENSORED> программу ты смотришь ."
где ты ? где я ?,я здесь !
привет,здравствуйте
"отличная фасоль , пап .",вкусная .
"конечно , согласна !",я объявляю вас мужем и . . .
"но мне нужно , чтобы ты был честен .",не нужен и сейчас .
"ни за что ! нет , нет !",почему это ?
"твоему отцу , собственно говоря .",я позвоню ему .
"все , кого завтра не будет в классе , получают единицу .","итак , я предполагаю , в соответствии с процедурой не соответствующей протоколу щ . и . т . а ."
и оставь меня в покое с моими хозяевами !,а ты иди спать и не лезь !
полиция ищет ее .,"преступник помог ей с сумками , таким образом покинул двор ."
да .,какой идиот .
дон фальконе .,жемчужина .
перестань .,я не могу .
джекоб !,главстаршина !
"тогда закрой на ключ двери , я не хочу , чтобы мне мешали .","повторяю , чёрный код ."
"эй , джо !","эй , джо ."
мы боремся за мир во всем мире .,иногда мир надо защищать .
боже храни капитализм .,это папочка .
и что же генри морган советует посетить в париже ?,"в любое место , где снимались фильмы с одри хепберн ."
никогда ?,не встречался с женатым мужчиной .
"ты знаешь , что я имею ввиду .","нет , я не знаю , что ты имеешь ввиду , джонни ."
"о , ты оставила там . . . свою футболку .","нет , это моя футболка ."
"сэр , вы слышите м . . ?","да , я тебя слышу ."
будьте осторожны .,буду осторожен .
ничего .,что - то еще ?
хэйли .,где эми ?
"моей жены нет дома , проходите .",ушла .
у меня бывают плохие дни тоже .,но нужно стараться поступать хорошо .
пока .,"пока , предатель ."
я это возьму .,отлично .
я получила ?,получила .
собака .,гав - гав !
они не на нашей стороне .,"вернитесь на свое место , или вас выведут !"
"я знаю , что ты там делал .",это был не я .
"что я из ума выжил , гмм ?","он одурачил тебя во всем , сынок ."
"майклу было плевать , он же парень .",так он сказал . и это было умно .
"о том , как это сложно - быть честным в отношении того , что ты на самом деле чувствуешь .",это не чувства .
я видел подобное в интернете . . .,ты и меня повсюду видишь .
"помню , мы прикончили дика .","я думала , что у вас был секс ."
бьюсь об заклад,лучше падай на землю
очень медленно .,слишком медленно
ну . . . чуть - чуть .,постарайся не шуметь .
они . . . они по - прежнему в фениксе .,именно это тут и написано .
оставь деньги себе ., деньги оставь себе  ?
"так , у нас есть три варианта .",не убивайте меня .
я уничтожу тебя .,и я тебя .
"ты хочешь , чтобы мы выдвигались ?","нет , оставайтесь ."
найди станцию .,он здесь .
"я знал , что я бродил по улицам , но я не хотел , не хотел думать об этом",ты и не должен об этом думать .
осторожно .,я осторожно .
он бил меня по любой причине .,"защищал его , потому что . . ."
проблемы сами находят его .,у меня нет проблемы .
нет .,"значит , будешь водителем ."
что у меня большие проблемы .,какие проблемы ?
что это за фигня ?,не знаю .
что за дело ?,шест для танцев .
вы одна из тех . . . ?,конечно .
просто . . . иногда в приемных домах недостаточно еды .,фрукты - тоже нельзя .
"итак , твой отец гитарист в группе фламенко .","привет , папа ."
вперед .,и назад .
"# by you , my future ' s clear","hep , hep - - отлично"
"он сказал , что спрятал это здесь у всех на виду .","тогда , возможно , ему не долго оставалось жить ."
я - друг .,"а я - друг , джема ?"
они не доверяют мне .,"поэтому я должен использовать это доверие , чтобы защитить свое королевство ."
я . . .,мы знаем друг друга .
ваше здоровье .,за мое здоровье .
нет .,тогда я попытался с двумя другими женщинами и они обе уничтожили меня .
да ?,да так и есть .
пожалуйста .,спасибо за помощь . . .
я люблю тебя !,я тоже люблю тебя !
я тоже не имею .,тогда это нужно выяснить .
ну а как твой день ?,oтлично .
я жду тебя у входа .,щас спущусь .
брат аврам !,твой отец командующий ?
"кому , как думаешь , я собираюсь продать тебя ?",ты выигрываешь ты забираешь нас двоих .
"о , тебе спасибо .",за что ?
ты это слышишь ?,"да , хорошо слышу ."
но карен больше нет .,мне очень жаль .
как только чай допью .,хорошо .
"привет , кент .",привет .
если бы были способны на все ?,вполне .
так мы пролетим через туманность тонг бик .,"следовательно , он должен быть еще на борту ."
нет .,"если ты позволишь ей отказаться , ты поможешь ей совершить самоубийство ."
обними меня .,я не могу .
простите .,да ничего .
финну .,дэниэл .
хорошо .,отлично .
"я держу тебя , держу .","джулия , я не удержу ее !"
хотел отдать тебе прощальный подарок .,а вот это подарок тебе .
это специальный агент гиббс .,"это мой напарник , специальный агент розвуд"
"доверься своей интуиции , тайлер .","интуиция говорила , что мне необязательно ехать ."
но зачем тратить такие деньги на что - то подобное ?,"она говорила мне , что копит эти деньги на машину ."
"а что ты имела в виду , говоря "" сложнее "" , насколько . . .","это слово застревает во рту , и я не могу сказать его правильно ."
"господи , надеюсь , я ничего не забыла .","это правильно , потому что ты не перезванивала мне ."
давай сюда .,"включи кассету , джесс ."
я ничего не вижу .,ничего не вижу .
"ренн не такая , какой кажется .",тогда расскажи мне .
"да , охрана .",нам нужна здесь охрана .
"не надо , хватит .",надо .
остановись !,я понимаю твой гнев .
"зачем вам знать , в какой одежде она была ?","я имею в виду , как она могла видеть надпись на спине ?"
никаким боком к внутренним расследованиям ?,это нам предстоит выяснить .
я отлучусь ненадолго .,ок .
"нет , ты понял ?",я не просто их понял .
50 тысяч ?,"да , чек на четверть миллиона ."
из офиса уже едут .,будут через пять минут .
что говорит полиция ?,"полиция следит за правилами , проводит рейды , допрашивает ."
графиня предательница .,предательница !
"он сказал , ты знаешь , но . .",знаю что ?
"выпусти меня сейчас же , сукин сын !","держи его , эмми !"
никаких разговоров во время занятий .,я не подчиняюсь вашим приказам .
увидите собственными глазами .,увижу что ?
"нужно ли это нам настолько , чтобы рисковать нашими карьерами ?","если спрашиваешь , серьезно ли это для меня , то "" да "" ."
и я не чувствую неловкости .,пока ты не встретишь кого - нибудь
"ну , тогда хорошо .","нет , не отлично ."
"ну , похоже он пытался .","думаю , он сделал что - то ."
это как раз подходит .,отлично . в этот раз ты меня подловил .
"что бы это ни было , я не хочу знать .","не важно уже как . главное , что произошло ."
вам нужно найти новую работу .,я хотел бы вам помочь .
правда ?,правда .
"чувак , мой отец не носит подгузников , ты это знаешь .","начнем с того , что я не твой отец ."
простите .,все в порядке .
краны . . .,горячо .
точняк .,подождите .
давай найдём твоего сына .,дай мне ребенка .
прости .,и ты меня прости .
с колесом разобрался ?,"не - а , точно не получилось ."
что ?,"почему "" ох "" ?"
а тем временем тебе не следует ни с кем разговаривать .,я никаким тоном не разговариваю .
"давай , парень , открой дверь .","я сказал , дай ключи ."
"в смысле , я не на том уровне , чтобы меня . . .",а в чём ты ещё уверен !
ты никуда не едешь .,"ещё как поеду , джек ."
я хочу называться дэйзи даймонд .,и холли клири .
"нет , это был не я .",тогда почему вы пытались спрятать бутылку после шоу ?
а где отдел религии ?,"на небесах , на земле и повсюду ."
"о , как мило !",насколько мило ?
вы уверены ?,"да , я уверен ."
быть более человечным ?,"нет , мне он нравится ."
тебе нужна своя комната .,"у тебя есть своя , а это - мамина ."
"когда я проснулся следующим утром , всё было нормально .",было ровно 3 часа утра .
привет !,"рада тебя видеть , несмотря на обстоятельства !"
это звучит . . . идеально .,это идеально тебе подходит .
это классно .,что круто ?
8 очков . . .,серебряных . . . три .
она была моей первой учительницей .,"она была блондинка . хрупкая , светящаяся ."
"я ставлю на карту свою жизнь , но не хочу рисковать семьёй .","я не позволю своей жене рисковать в лесу , чтобы поймать монстра ."
"пора признать , что я никогда не смогу сделать чего - то более - менее интересного или неожиданного .","просто скажи , что ты подумаешь ."
это не обязательно .,"я надеялся , что скотт будет здесь ."
"пойдем в дом и посмотрим , что вы выиграли . о !",купим дом .
"в 15 минутах , сэр .","я думаю , через 20 минут ."
эти программы полны агрессии и жестокости .,вы сказали - мировая война ?
на меня не смотри .,не могу .
"чудеса случаются каждый день , гас .","чего ты от меня хочешь , прекратить все это ?"
что не так с тобой ?,да всё не так !
"старик скупил здесь все земли и заплатил мне за то , чтоб я доставил порох сюда .",и ещё предоставил каждому жильё в земле богов !
это возмутительно !,"позвольте мне сказать , сэр ."
"все хорошо , все хорошо , все хорошо .",просто отлично !
вы можете поставить рядом корову .,вся королевская рать . . . - да .
не забудьте вернуть мне кресло .,"нет , не забуду ."
что тебе нужно ?,уже ничего .
"маме пора идти , ладно ?","да , иди , конечно ."
"кажется , ты немного увлеклась .",слегка ?
"вы знаете , что там ?",я много чего знаю .
"и мы по - прежнему можем заниматься , если еще не поздно .","да , можем ."
"доброе утро , друг .","доброе , доброе ."
почему ты достала паспорт ?,"потому , что я не знаю , можно ли туда вернуться ."
"боже , ты поборол полковника каддафи , ты можешь справиться с главой полиции бристоля .",это ослабило оборону .
обними меня .,иди сюда .
"даян , у вас есть минутка ?",нет .
"я не привыкла , что бы со мной так разговаривали мужчины , которых я однажды встретила на железнодорожной станции .",водитель ?
вы вместе служили ?,"нет , но нас было немного там , так что я знал его ."
"гаррет , я бы тебя сейчас треснул , если бы не знал , что у тебя будет своя планета , когда ты умрешь .",ты был бы мёртв
клиники для душевнобольных такие ужасные .,"я использовала её , чтобы вылечить твою дочь ."
у неё никого не может быть .,информатор .
"я думаю , ты сумасшедший .","ты считаешь , что мое виденье нашего будущего - сумасшедшее ?"
"вместо этого , вы только запретили ему , а затем говорили о докладе , что сделаете запись в нём .",всем и так известно слишком многое .
зарядить на 200 .,заряжаем .
да .,"что ж , теперь ты не единственный , кто ей солгал ."
"я бы и хотел , но этого недостаточно .",всем бы хотелось .
я популярный поэт . . .,тебе нужно заиметь немного знаменитостей вокруг .
что случилось ?,диллон случился .
"хорошо , нет .",отлично .
ничего тут нет ?,"ну вообще то , есть . ."
а завтра ты им покажешь .,"нет , не увидимся ."
всё из - за мэтта и его наркотиков .,он больше не мой тайлер .
ты звонил ее матери ?,"я позвонила маме , она ответила ."
зачем ?,"что "" зачем "" ?"
"если ты хочешь играть так , то тогда именно так мы и будем играть .",чудесная игра !
кто идет ?,все .
"как ты можешь , джек ?","джо , джо , нет ."
"познакомился с новой девушкой "" .",и моей новой девушкой .
сейчас мы будем двигаться дальше .,"хорошо , будем двигаться дальше ."
приняла слишком много таблеток своего брата ?,нет . я просто беспокоюсь о твоем здоровье .
спасибо .,не за что .
"те , кому это важно .","нет , важно ."
ты не очень хорош в этом .,я не напрашивался на комплимент .
том питерман занимался этим делом .,"нет , он не обанкротился !"
"но если я сделаю счастливыми своих друзей , то и я буду счастлива .","и буду делать всё , чтобы ты поняла , что любишь именно меня . и что именно я твой муж ."
"да , мы закончили .","мистер бикон , так или иначе вам придётся ответить ."
для католика - это смертный грех .,они не совсем мертвы . . .
джо :,"папа , кейт невинных ."
наблюдать за закатом .,"и здесь , на берегу реки ."
я не согласен .,а в чём же ?
"я подумал , стоит купить украшение , но ведь кольцо ничто не переплюнет .","что - то красивое , дорогое , как , например , часы ."
я всегда любил тебя .,я недостоин этой любви .
"я думаю , это могло бы стать классикой , как фильм "" в порту "" .",не плохой фильм .
лесли ?,джеймс !
"слушай , нам нужно доделать это .",я сделаю .
"платишь столько , сколько весишь .","это мало , кстати говоря ."
а в каком возрасте он пойдет в школу ?,в 16 лет .
"может , обсудим возрождение человечества ?",давайте .
мощность !,уменьши мощность !
"ну , стоун сказал диксу , что он был единственным , кто посвящен в расследование агента кларка .","да , но стоун ничего не слышал от агента кларка , так что он никак не мог знать , что кларк использовал джейсона как информатора ."
"и я позволю опи рассказать всем , что ты убил его старика .","и если он хотел убить твоего брата , то следующим был бы ты ."
это клеймо .,вечно .
"нет , нет , я гей , клянусь !","я поверю в это , если ты мне докажешь ."
это все здесь .,и здесь .
ничего не понимаю .,не беспокойся об этом .
"ребята , могу я поговорить пару минут с вашим отцом ?",конечно можешь .
я знаю .,я спасся только благодаря смелости и уму .
"так как я принадлежу сама себе , я хочу получить то что я хочу , независимо от того правильно ли это для меня .","# получить , получить . #"
нет .,"позвоните , когда он очнется ."
"он пытался спасти нас , сборище глупцов . когда представился случай , он бросил это в ручей .","когда это случилось , я прятался под кроватью ."
пока .,"не пока , заходи ."
"кто сказал , что я хочу , чтобы это прошло ?",обычно оно не проходит так быстро .
он мне нравится .,а мне нет .
"эй вы , там !",э - эй !
"как насчет этого . анджела напечатает изображение с плаката на футболке , которую будет носить оскар .",это было бы замечательно .
и карлу тоже передай .,передам .
просто волосы ?,это были волосы . . .
"ах так , тогда пристрели её !",я выстрелю !
"так вот , я не дурак .",ты не дурак .
"о , у меня нет конкурентов .",а у меня есть .
"они точно знают , где мы .","и никто не знает , куда мы делись ."
сегодня на этой сцене было много слез .,благодаря моим слезам .
"сельма , нельзя приносить с собой сценарий на работу .",зачем бы ей это делать ?
"подожди , я сейчас приду .",точно придешь ? мне страшно .
"если это плохо - быть клоуном , тогда ты определённо не клоун .","или , может , я неправ относительно тебя ?"
